serial,constituency_number,township,ward_village
2,2,ကျးရွာအပ်စ။,8။  ဒါင်ဗား ကျးရွာ  အပ်စ
2,2,ကျးရွာအပ်စ။,9။ ဒွမဗ  ် ား ကျးရွာအပ်စ
2,2,ကျးရွာအပ်စ။,10။ ဖိင်ဖာ(က) ကျးရွာအပ်စ
2,2,ကျးရွာအပ်စ။,11။ ဘသွ ကျးရွာအပ်စ
2,2,ကျးရွာအပ်စ။,12။ ဘွန်လး ကျးရွာအပ်စ
2,2,ကျးရွာအပ်စ။,13။ လပီး  ကျးရွာအပ်စ
2,2,ကျးရွာအပ်စ။,14။  လာက်လး ကျးရွာအပ်စ
2,2,ကျးရွာအပ်စ။,15။ လခင်း  ကျးရွာအပ်စ
2,2,ကျးရွာအပ်စ။,16။ လရန်း ကျးရွာအပ်စ
2,2,ကျးရွာအပ်စ။,17။ လသာရ်
3,3,ကျးရွာအပ်စ။,ထန်တလန် မို ့နယ်တစ်ခလး။
4,4,ချင်းြပည်နယ်,ဖလမ်း မို ့နယ်တစ်ခလး။
5,5,ွ း် ကျးရွာအပ်စ၊,တီးတိန် မို ့နယ်အတွင်းရှိ 1။ စ ကာလမ်းရပ်ကွက် (တီးတိန်  မို ့)
5,5,ွ း် ကျးရွာအပ်စ၊,2။ မို ့မရပ်ကွက်(တီးတိန် မို ့)
5,5,ွ း် ကျးရွာအပ်စ၊,3။ ကဂင် ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,4။ ကျိန်းပီးကွတ်  ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,5။  ကွးလမ်း  ကျးရွာ  အပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,6။ ဂမ်ငိင် ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,7။ ဂမ်လိင် ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,8။  ဆွာင်းဆန် ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,9။  ဇိမ်ပီး ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,10။ တက်လွီး ကျးရွာအပ်စ
5,5,ွ း် ကျးရွာအပ်စ၊,11။ တန်းဇန် ကျးရွာအပ်စ
